feature_name,mutual_information,variance,random_forest_importance,combined_score
horizontal_edge_ratio,0.101724664633623,0.010011077770332916,0.002796826641974432,0.5296703296703297
hsv_saturation_mean,0.03318036367406779,236.0043182373047,0.003115541765710443,0.5274725274725275
hsv_saturation_std,0.01937106405968346,94.01606464385988,0.0032621894778714967,0.5120879120879122
rgb_std_b,0.019288009951205595,0.003636958854592809,0.007227338071940712,0.5054945054945055
pixel_grid_lattice_energy_ratio,0.01179999420047799,0.5570412919865587,0.004003164436182069,0.4945054945054945
noise_residual_kurtosis,0.03624735318173529,156.68807133578545,0.002651997365969889,0.4835164835164835
contrast_balance,0.07993391614795925,0.0012151362178552598,0.0031680411385861394,0.4835164835164835
fft_high_frequency_ratio,0.011660891307137808,0.0011473730297222311,0.008678923168880226,0.4813186813186814
white_balance_red_green_ratio,0.02223831607947785,0.024910777812117212,0.003582172984603251,0.4769230769230769
brightness_row_period,0.031880031865261435,238.79402810104315,0.002405733574083231,0.4505494505494506
glare_hotspot_count,0.009598296024203548,947.0,0.0027460722694114116,0.432967032967033
sharpness_gradient_mean,0.06673179733143367,0.013913554798238609,0.002454836534739209,0.4307692307692308
pixel_grid_vertical_periodicity,0.038209060651917356,0.006375690843263993,0.0027546800532560556,0.41978021978021984
contrast_local_mean,0.0693290980219547,0.0009043820221022619,0.0028043117570713504,0.41758241758241765
contrast_michelson,0.07264190652544116,0.002007478510254504,0.0026348477962872497,0.41758241758241754
moire_high_frequency_energy_ratio,0.018356948333454054,0.0006115890215522982,0.004423416108476404,0.40219780219780227
reflection_specular_ratio,0.01089312486140527,0.0010590296111770378,0.00460175753464066,0.39560439560439564
pixel_grid_horizontal_spacing,0.03337092954259978,121.0,0.0011404689860553157,0.3868131868131868
sharpness_gradient_std,0.009345322796404779,0.012191294820099018,0.003092344816786963,0.37142857142857144
channel_corr_gb,0.005791564463234686,0.01481953146098531,0.0031854064014176747,0.37142857142857144
pixel_grid_stripe_consistency,0.0424407439090243,0.004883301220338732,0.0023851747180601295,0.3692307692307693
